"ventRmId","Building","Room","Rm_Type","MERV-Filter","ACH","CO2 0-1K ppm_hrs","CO2 1-2K ppm_hrs","CO2 2-3K ppm_hrs","CO2 3-6K ppm_hrs","PCR Pos Count","Mean Occupants","Square Footage","Ceiling Height"
"ventRmId","building_list","Room","ventRmId","MERV-Filter","ACH","CO2 0-1K ppm_hrs","CO2 1-2K ppm_hrs","CO2 2-3K ppm_hrs","CO2 3-6K ppm_hrs","PCR Pos Count","Mean Occupants","Square Footage","Ceiling Height"
256,"Bld B","R58","CLASSROOM","MERV-11",0.5368618453457714,8.,0.,0.,0.,4,256,837,8.
99,"Bld C","R4","THERAPY","MERV-11",0.2889285839598882,5.533333333333333,2.466666666666667,0.,0.,0,99,525,8.5
102,"Bld C","R7","CONFERENCE","MERV-11",1.168981546817965,8.,0.,0.,0.,0,102,344,7.916666665697674
103,"Bld C","R8","CONFERENCE","MERV-11",0.18372034824395256,3.933333333333333,4.066666666666666,0.,0.,0,103,285,8.041666666666666
108,"Bld C","R13","COPY","MERV-11",0.23435747555975248,3.1666666666666665,4.833333333333333,0.,0.,0,108,281,8.041666665480427
112,"Bld C","R17","CLASSROOM","MERV-11",0.6686093410645916,7.933333333333334,0.06666666666666667,0.,0.,2,112,541.4,13.11156261544145
113,"Bld C","R18","CLASSROOM","MERV-11",0.21576323747573053,1.9666666666666666,6.033333333333333,0.,0.,9,113,816,8.583180147058824
114,"Bld C","R19","CLASSROOM","MERV-11",0.22193394137514588,2.1666666666666665,5.833333333333333,0.,0.,6,114,816,8.49872344730392
115,"Bld C","R20","CLASSROOM","MERV-11",0.2397247783975072,1.4333333333333333,6.566666666666666,0.,0.,4,115,816,8.529564950980392
116,"Bld C","R21","CLASSROOM","MERV-11",0.1851406675195592,0.8,7.2,0.,0.,3,116,883,8.67138542808607
117,"Bld C","R22","CLASSROOM","MERV-11",0.22169701258422805,1.5666666666666667,6.433333333333334,0.,0.,3,117,1042,8.130758157389636
118,"Bld C","R23","CLASSROOM","MERV-11",0.19647809719452872,1.2666666666666666,6.1,0.6333333333333333,0.,5,118,816,6.920292074754902
119,"Bld C","R24","CLASSROOM","MERV-11",0.2374726136673211,1.4,6.6,0.,0.,4,119,659,8.325524784522003
120,"Bld C","R25","CLASSROOM","MERV-11",0.26658766710179793,1.0666666666666667,6.933333333333334,0.,0.,9,120,806,8.49245244044665
121,"Bld C","R26","CLASSROOM","MERV-11",0.36421979240186275,0.7666666666666666,7.233333333333333,0.,0.,8,121,806,8.501964433002481
122,"Bld C","R27","CLASSROOM","MERV-11",0.24928324743092603,2.433333333333333,5.566666666666666,0.,0.,7,122,771,8.624081280155643
123,"Bld C","R28","CLASSROOM","MERV-11",0.6207104603286966,8.,0.,0.,0.,5,123,713.04,8.371566345506563
124,"Bld C","R29","CLASSROOM","MERV-11",0.18523289848257898,1.4666666666666666,6.533333333333333,0.,0.,2,124,907,8.726157662624036
125,"Bld C","R30","CLASSROOM","MERV-11",0.18776925623002905,1.8333333333333333,6.166666666666667,0.,0.,3,125,690,8.666666666666666
126,"Bld C","R31","CLASSROOM","MERV-11",0.17576780399001038,2.1666666666666665,5.833333333333333,0.,0.,6,126,992,8.270833333669355
127,"Bld C","R32","CLASSROOM","MERV-11",0.1934320895049941,1.3,6.7,0.,0.,7,127,1037,8.297010607521697
128,"Bld C","R33","CLASSROOM","MERV-11",0.24020568891773725,0.8666666666666667,7.133333333333333,0.,0.,5,128,1037,8.297010607521697
129,"Bld C","R34","CLASSROOM","MERV-11",0.1713301371548123,1.5333333333333332,6.466666666666667,0.,0.,11,129,1037,8.261973642237223
130,"Bld C","R35","CLASSROOM","MERV-11",0.29155448390862043,4.033333333333333,3.966666666666667,0.,0.,5,130,1037,8.243008678881388
131,"Bld C","R36","CLASSROOM","MERV-11",0.2692712123125654,3.033333333333333,4.966666666666667,0.,0.,4,131,1037,8.297010607521697
